antecedent,consequent,support,confidence,f1
"Antecedent(('Passenger_Cat', '2nd_class'))","Consequent{('Died', '0')}",0.08485499462943072,0.6220472440944882,
"Antecedent(('Passenger_Cat', 'crew'), ('Gender', 'male'))","Consequent{('Died', '1')}",0.21911922663802363,0.6200607902735562,
"Antecedent(('Passenger_Cat', 'crew'), ('Gender', 'male'), ('Age_Cat', 'adult'))","Consequent{('Died', '1')}",0.21911922663802363,0.6200607902735562,
"Antecedent(('Age_Cat', 'child'), ('Gender', 'male'))","Consequent{('Died', '0')}",0.023630504833512353,0.6111111111111112,
"Antecedent(('Passenger_Cat', '3rd_class'), ('Age_Cat', 'adult'))","Consequent{('Died', '1')}",0.1611170784103115,0.6072874493927125,
"Antecedent(('Passenger_Cat', 'crew'))","Consequent{('Died', '1')}",0.22126745435016112,0.5971014492753624,
"Antecedent(('Passenger_Cat', 'crew'), ('Age_Cat', 'adult'))","Consequent{('Died', '1')}",0.22126745435016112,0.5971014492753624,
"Antecedent(('Passenger_Cat', '3rd_class'))","Consequent{('Died', '1')}",0.18152524167561762,0.5888501742160279,
"Antecedent(('Age_Cat', 'child'), ('Passenger_Cat', '3rd_class'), ('Gender', 'male'))","Consequent{('Died', '1')}",0.015037593984962405,0.56,
"Antecedent(('Passenger_Cat', '2nd_class'), ('Age_Cat', 'adult'))","Consequent{('Died', '0')}",0.0644468313641246,0.5555555555555556,
"Antecedent(('Age_Cat', 'child'), ('Passenger_Cat', '3rd_class'))","Consequent{('Died', '0')}",0.022556390977443608,0.525,
"Antecedent(('Passenger_Cat', '1st_class'), ('Gender', 'male'), ('Age_Cat', 'adult'))","Consequent{('Died', '1')}",0.045112781954887216,0.5185185185185185,
"Antecedent(('Age_Cat', 'adult'))","Consequent{('Died', '1')}",0.48012889366272826,0.5149769585253456,
"Antecedent(('Passenger_Cat', '1st_class'), ('Gender', 'male'))","Consequent{('Died', '1')}",0.045112781954887216,0.5,
"Antecedent(('Passenger_Cat', '1st_class'), ('Gender', 'male'))","Consequent{('Died', '0')}",0.045112781954887216,0.5,
"Antecedent(('Age_Cat', 'adult'))","Consequent{('Died', '0')}",0.4522019334049409,0.48502304147465436,
"Antecedent(('Passenger_Cat', '1st_class'), ('Gender', 'male'), ('Age_Cat', 'adult'))","Consequent{('Died', '0')}",0.04189044038668099,0.48148148148148145,
"Antecedent(('Age_Cat', 'child'), ('Passenger_Cat', '3rd_class'))","Consequent{('Died', '1')}",0.02040816326530612,0.475,
"Antecedent(('Passenger_Cat', '2nd_class'), ('Age_Cat', 'adult'))","Consequent{('Died', '1')}",0.05155746509129968,0.4444444444444444,
"Antecedent(('Age_Cat', 'child'), ('Passenger_Cat', '3rd_class'), ('Gender', 'male'))","Consequent{('Died', '0')}",0.011815252416756176,0.44,
"Antecedent(('Passenger_Cat', '3rd_class'))","Consequent{('Died', '0')}",0.1267454350161117,0.41114982578397213,
"Antecedent(('Passenger_Cat', 'crew'))","Consequent{('Died', '0')}",0.14930182599355532,0.4028985507246377,
"Antecedent(('Passenger_Cat', 'crew'), ('Age_Cat', 'adult'))","Consequent{('Died', '0')}",0.14930182599355532,0.4028985507246377,
"Antecedent(('Passenger_Cat', '3rd_class'), ('Age_Cat', 'adult'))","Consequent{('Died', '0')}",0.1041890440386681,0.39271255060728744,
"Antecedent(('Age_Cat', 'child'), ('Gender', 'male'))","Consequent{('Died', '1')}",0.015037593984962405,0.3888888888888889,
"Antecedent(('Passenger_Cat', 'crew'), ('Gender', 'male'))","Consequent{('Died', '0')}",0.13426423200859292,0.3799392097264438,
"Antecedent(('Passenger_Cat', 'crew'), ('Gender', 'male'), ('Age_Cat', 'adult'))","Consequent{('Died', '0')}",0.13426423200859292,0.3799392097264438,
"Antecedent(('Passenger_Cat', '2nd_class'))","Consequent{('Died', '1')}",0.05155746509129968,0.3779527559055118,
"Antecedent(('Gender', 'male'))","Consequent{('Died', '0')}",0.2577873254564984,0.3609022556390977,
"Antecedent(('Passenger_Cat', '3rd_class'), ('Age_Cat', 'adult'), ('Gender', 'female'))","Consequent{('Died', '1')}",0.031149301825993556,0.35802469135802467,
"Antecedent(('Passenger_Cat', '3rd_class'), ('Gender', 'female'))","Consequent{('Died', '1')}",0.036519871106337275,0.3541666666666667,
"Antecedent(('Gender', 'male'), ('Age_Cat', 'adult'))","Consequent{('Died', '0')}",0.23415682062298604,0.3465818759936407,
"Antecedent(('Age_Cat', 'child'), ('Passenger_Cat', '3rd_class'), ('Gender', 'female'))","Consequent{('Died', '1')}",0.0053705692803437165,0.3333333333333333,
"Antecedent(('Age_Cat', 'child'))","Consequent{('Died', '1')}",0.02040816326530612,0.30158730158730157,
"Antecedent(('Passenger_Cat', '3rd_class'), ('Gender', 'male'))","Consequent{('Died', '0')}",0.06015037593984962,0.2931937172774869,
"Antecedent(('Passenger_Cat', '2nd_class'), ('Gender', 'male'))","Consequent{('Died', '0')}",0.018259935553168637,0.2786885245901639,
"Antecedent(('Passenger_Cat', '3rd_class'), ('Gender', 'male'), ('Age_Cat', 'adult'))","Consequent{('Died', '0')}",0.04833512352309345,0.2710843373493976,
"Antecedent(('Passenger_Cat', '1st_class'), ('Age_Cat', 'adult'))","Consequent{('Died', '1')}",0.04618689581095596,0.25595238095238093,
"Antecedent(('Passenger_Cat', '1st_class'))","Consequent{('Died', '1')}",0.04618689581095596,0.25,
"Antecedent(('Age_Cat', 'child'), ('Gender', 'female'))","Consequent{('Died', '1')}",0.0053705692803437165,0.18518518518518517,
"Antecedent(('Passenger_Cat', '2nd_class'), ('Gender', 'male'), ('Age_Cat', 'adult'))","Consequent{('Died', '0')}",0.00966702470461869,0.16981132075471697,
"Antecedent(('Gender', 'female'))","Consequent{('Died', '1')}",0.04403866809881848,0.15413533834586465,
"Antecedent(('Age_Cat', 'adult'), ('Gender', 'female'))","Consequent{('Died', '1')}",0.03866809881847476,0.1506276150627615,
"Antecedent(('Passenger_Cat', 'crew'), ('Gender', 'female'))","Consequent{('Died', '1')}",0.0021482277121374865,0.125,
"Antecedent(('Passenger_Cat', 'crew'), ('Age_Cat', 'adult'), ('Gender', 'female'))","Consequent{('Died', '1')}",0.0021482277121374865,0.125,
"Antecedent(('Passenger_Cat', '2nd_class'), ('Age_Cat', 'adult'), ('Gender', 'female'))","Consequent{('Died', '1')}",0.004296455424274973,0.07272727272727272,
"Antecedent(('Passenger_Cat', '2nd_class'), ('Gender', 'female'))","Consequent{('Died', '1')}",0.004296455424274973,0.06060606060606061,
"Antecedent(('Passenger_Cat', '1st_class'), ('Age_Cat', 'adult'), ('Gender', 'female'))","Consequent{('Died', '1')}",0.0010741138560687433,0.011494252873563218,
"Antecedent(('Passenger_Cat', '1st_class'), ('Gender', 'female'))","Consequent{('Died', '1')}",0.0010741138560687433,0.011363636363636364,
